domain,category,patchcore_i_auroc,patchcore_p_auroc,uniad_i_auroc,uniad_p_auroc,rd_i_auroc,rd_p_auroc,simplenet_i_auroc,simplenet_p_auroc,vitad_i_auroc,vitad_p_auroc,destseg_i_auroc,destseg_p_auroc,mambaad_i_auroc,mambaad_p_auroc,dinomaly_i_auroc,dinomaly_p_auroc,lgc_ad_i_auroc,lgc_ad_p_auroc,dinomalym_i_auroc,dinomalym_p_auroc
Agrifood,Aero_Engine_Blade,60.81,93.34,44.26,91.97,69.45,90.37,52.29,77.98,85.96,90.47,66.82,84.15,76.90,90.68,80.00,90.42,73.11,88.39,86.33,92.20
Agrifood,bagel,78.32,94.16,64.52,96.08,85.06,97.65,58.59,76.63,77.31,96.88,69.28,97.14,68.22,95.32,63.47,95.13,83.59,97.78,70.62,97.41
Agrifood,Bear_real,55.00,99.12,36.67,98.11,59.17,64.59,38.33,57.77,50.00,48.41,57.50,95.20,51.67,53.75,45.00,68.55,55.83,72.33,48.33,87.49
Agrifood,Bear_sim,51.50,83.28,64.74,88.29,48.48,90.30,51.44,72.17,41.20,90.50,60.52,77.90,57.77,90.47,44.05,90.83,46.42,89.77,49.89,92.46
Agrifood,Bird_real,30.30,87.47,25.76,87.48,37.12,77.93,42.42,44.66,75.00,75.01,61.36,74.22,50.00,87.46,64.39,83.07,26.52,73.06,51.52,86.59
Agrifood,Bird_sim,42.04,86.34,54.15,89.49,47.86,90.06,50.74,65.57,61.21,90.48,31.28,70.80,49.13,90.11,35.10,90.58,78.19,88.83,36.41,91.18
Agrifood,bottle,99.79,97.48,91.30,89.50,92.13,92.17,49.48,59.68,99.93,97.13,96.20,89.71,98.90,95.39,99.79,97.02,98.14,95.97,100.00,98.31
Agrifood,bottle_cap,80.02,95.17,86.32,98.61,90.92,99.30,49.58,69.41,73.27,98.36,62.64,92.89,82.12,99.20,87.20,99.30,91.33,99.19,92.97,99.46
Agrifood,can,52.00,44.34,57.05,77.24,66.53,81.91,49.09,58.60,56.64,72.54,49.41,72.85,67.73,82.88,49.03,73.51,63.68,83.59,48.43,73.65
Agrifood,carrot,80.73,90.64,57.71,97.22,80.73,99.22,48.04,69.14,82.46,98.62,68.74,90.55,85.47,99.25,90.57,99.26,88.06,99.30,93.69,99.48
