domain,category,patchcore_i_auroc,patchcore_p_auroc,uniad_i_auroc,uniad_p_auroc,rd_i_auroc,rd_p_auroc,simplenet_i_auroc,simplenet_p_auroc,dinomaly_i_auroc,dinomaly_p_auroc,dinomalym_i_auroc,dinomalym_p_auroc
Agrifood,Aero_Engine_Blade,86.30,95.40,51.66,93.16,77.66,92.23,83.25,92.94,97.54,95.44,96.70,95.25
Agrifood,bagel,88.70,96.00,79.76,98.05,86.49,99.22,84.17,97.13,91.29,99.19,87.67,99.12
Agrifood,Bear_real,95.00,99.70,45.00,98.49,82.50,99.78,73.33,98.36,79.17,99.42,65.00,98.55
Agrifood,Bear_sim,64.80,96.30,72.41,90.39,79.38,96.07,73.56,91.33,85.10,97.66,83.29,97.82
Agrifood,Bird_real,66.70,95.50,41.67,89.61,47.73,91.58,50.76,90.39,56.06,94.98,62.12,91.68
Agrifood,Bird_sim,56.30,93.90,60.17,91.54,50.22,94.55,65.01,94.68,63.11,96.40,59.01,96.88
Agrifood,bottle,100.00,98.50,99.45,98.16,100.00,98.65,100.00,98.25,100.00,99.16,100.00,98.97
Agrifood,bottle_cap,97.80,99.70,89.36,98.81,97.06,99.35,97.42,97.74,96.47,99.28,95.62,99.29
Agrifood,can,51.10,72.10,57.72,77.45,47.69,81.01,44.24,67.22,50.46,69.38,51.85,67.85
Agrifood,carrot,95.50,99.20,79.59,97.58,95.94,99.37,91.33,97.38,98.15,99.59,95.66,99.53
Agrifood,cashew,97.60,98.60,87.24,99.13,96.40,96.02,94.78,99.22,96.18,98.17,97.84,98.38
Agrifood,Cat_sim,50.50,96.80,42.68,93.43,42.73,97.09,44.20,93.39,41.27,98.52,39.47,98.71
Agrifood,Cherry,77.00,98.70,67.21,96.53,78.04,98.95,79.55,97.40,90.01,99.36,88.44,99.31
Agrifood,chewinggum,98.30,98.90,96.23,98.86,98.52,98.96,99.13,98.30,98.61,98.51,98.41,98.09
Agrifood,cigarette_box,90.20,97.30,90.22,92.76,71.86,92.95,95.89,95.96,90.84,98.03,91.03,97.96
Agrifood,coffee_beans,77.30,83.30,72.29,70.83,56.73,84.29,94.33,91.87,89.24,89.68,89.43,90.86
Agrifood,cookie,82.30,97.00,69.27,95.89,80.10,98.16,84.35,96.30,83.16,97.62,80.99,97.97
Agrifood,drink_bottle,66.30,97.10,59.98,90.67,60.25,93.08,68.19,90.49,64.32,95.53,66.41,96.12
Agrifood,drink_can,85.50,94.70,52.53,88.99,60.82,94.24,76.82,89.29,80.91,95.55,82.63,95.60
Agrifood,Elephant_real,73.10,97.00,10.19,81.59,67.59,95.55,64.81,85.31,75.93,95.59,70.37,94.09
Agrifood,Elephant_sim,60.70,77.80,60.81,78.85,58.19,81.69,72.83,77.23,69.69,83.57,63.95,89.58
Agrifood,food_bottle,76.00,97.30,59.47,91.77,73.86,95.56,78.18,94.01,82.94,97.66,84.09,97.56
Agrifood,fruit_jelly,84.70,93.90,86.09,94.43,76.80,95.02,83.30,95.66,88.67,95.52,72.58,94.66
Agrifood,fryum,97.10,92.80,83.84,97.12,96.86,96.64,96.46,96.07,99.00,96.74,98.22,97.05
Agrifood,goji_berries,85.40,92.50,77.63,92.08,82.39,92.41,80.34,90.28,88.75,94.05,88.49,94.09
Agrifood,Gorilla_sim,62.10,97.60,49.73,91.33,63.49,97.10,69.49,90.25,77.10,97.64,81.01,97.60
Agrifood,hazelnut,100.00,98.70,99.77,98.22,99.94,98.86,99.81,98.40,100.00,99.44,100.00,99.42
Agrifood,juice_bottle,82.40,94.90,88.72,90.34,89.20,89.61,99.10,86.99,91.81,90.53,92.20,89.40
Agrifood,macaroni1,98.80,99.70,68.07,97.43,93.21,99.75,92.43,99.44,96.12,98.53,91.50,97.87
Agrifood,macaroni2,78.90,98.60,65.76,93.76,86.66,99.42,78.94,97.15,92.83,99.29,86.43,98.81
Agrifood,maize,78.30,82.40,56.51,72.40,67.08,84.25,85.23,80.59,81.91,87.57,83.05,88.29
Agrifood,Mallard_sim,62.60,89.20,48.67,87.14,79.52,87.83,68.06,85.67,74.57,91.48,69.67,92.55
Agrifood,mint,80.00,98.80,67.16,91.80,77.85,97.38,84.48,93.02,87.90,95.80,87.21,95.23
Agrifood,Obesobeso_sim,79.90,98.70,54.47,93.97,85.84,98.17,80.06,97.04,88.78,98.93,89.07,98.92
Agrifood,Owl_sim,68.90,97.40,75.11,92.55,66.06,97.13,72.06,95.57,66.73,97.41,65.00,97.65
Agrifood,paddy,87.70,78.90,74.62,68.05,88.04,72.21,92.80,76.93,95.18,75.50,94.08,74.23
Agrifood,Parrot_real,34.10,81.30,50.00,66.22,34.06,64.50,43.48,67.97,34.78,83.29,42.03,78.48
Agrifood,Parrot_sim,58.30,89.80,50.99,87.16,46.43,91.38,62.17,83.68,65.22,93.50,67.95,95.19
Agrifood,peach,82.70,98.50,70.08,97.49,89.85,99.27,75.76,94.51,96.61,99.68,93.42,99.62
Agrifood,Pheonix_sim,35.50,92.30,51.34,87.10,27.39,92.62,34.25,88.19,25.30,96.43,26.68,97.29
Agrifood,Pig_real,97.50,99.00,46.22,90.24,68.07,98.20,86.56,95.12,93.28,98.76,95.80,95.47
Agrifood,Pig_sim,63.80,99.10,34.96,92.88,58.11,99.22,61.80,97.35,64.70,99.46,59.89,99.40
Agrifood,pipe_fryum,100.00,98.90,93.38,99.01,99.82,99.01,99.34,99.21,99.76,99.14,99.66,99.24
Agrifood,pistachios,84.30,77.60,77.74,73.73,72.15,78.74,81.74,66.79,77.34,79.56,74.93,81.13
Agrifood,potato,68.80,99.00,52.45,96.76,75.15,99.31,61.84,90.65,75.94,99.32,72.10,99.24
Agrifood,Puppy_real,100.00,99.80,69.17,98.20,99.17,99.72,100.00,98.09,100.00,98.21,93.33,98.06
Agrifood,Puppy_sim,43.80,95.50,54.55,86.07,50.77,94.16,49.15,86.39,64.36,95.96,63.92,96.79
Agrifood,Raspberry,97.20,98.80,51.51,97.81,93.13,98.88,96.10,98.76,97.56,99.07,96.94,98.98
Agrifood,rice,49.90,66.00,55.42,73.59,48.81,78.65,54.47,59.60,71.90,89.77,71.93,91.27
Agrifood,Sabertooth_sim,48.90,98.30,37.60,89.50,54.97,96.05,54.19,91.80,64.20,98.05,61.19,98.47
Agrifood,Scorpion_real,42.00,89.70,17.39,88.68,41.30,81.84,39.85,66.94,46.38,76.51,56.52,72.94
Agrifood,Scorpion_sim,65.00,98.20,66.19,89.58,65.70,96.12,79.81,93.09,74.84,97.06,72.88,97.49
