domain,category,single_i_auroc,single_p_auroc,all380_i_auroc,all380_p_auroc,all380_aupro
Agrifood,Aero_Engine_Blade,96.70,95.25,86.33,92.20,79.15
Agrifood,bagel,87.67,99.12,70.62,97.41,85.47
Agrifood,Bear_real,65.00,98.55,48.33,87.49,59.27
Agrifood,Bear_sim,83.29,97.82,49.89,92.46,81.02
Agrifood,Bird_real,62.12,91.68,51.52,86.59,59.94
Agrifood,Bird_sim,59.01,96.88,36.41,91.18,78.20
Agrifood,bottle,100.00,98.97,100.00,98.31,94.80
Agrifood,bottle_cap,95.62,99.29,92.97,99.46,97.01
Agrifood,can,51.85,67.85,48.43,73.65,26.86
Agrifood,carrot,95.66,99.53,93.69,99.48,97.69
Agrifood,cashew,97.84,98.38,87.70,92.02,80.81
Agrifood,Cat_sim,39.47,98.71,28.64,94.11,86.01
Agrifood,Cherry,88.44,99.31,80.82,98.81,94.01
Agrifood,chewinggum,98.41,98.09,94.00,97.88,78.55
Agrifood,cigarette_box,91.03,97.96,60.16,91.79,74.65
Agrifood,coffee_beans,89.43,90.86,67.25,82.44,51.51
Agrifood,cookie,80.99,97.97,69.98,94.98,80.35
Agrifood,drink_bottle,66.41,96.12,57.23,91.86,69.33
Agrifood,drink_can,82.63,95.60,59.75,91.54,73.27
Agrifood,Elephant_real,70.37,94.09,62.96,87.31,67.61
Agrifood,Elephant_sim,63.95,89.58,50.85,72.87,69.37
Agrifood,food_bottle,84.09,97.56,64.06,94.29,74.44
Agrifood,fruit_jelly,72.58,94.66,64.08,94.24,62.73
Agrifood,fryum,98.22,97.05,96.98,96.84,90.02
Agrifood,goji_berries,88.49,94.09,76.83,88.66,53.70
Agrifood,Gorilla_sim,81.01,97.60,44.35,93.18,75.47
Agrifood,hazelnut,100.00,99.42,99.45,98.89,95.92
Agrifood,juice_bottle,92.20,89.40,85.59,87.25,79.80
Agrifood,macaroni1,91.50,97.87,96.18,98.14,91.91
Agrifood,macaroni2,86.43,98.81,85.11,98.81,96.34
Agrifood,maize,83.05,88.29,64.99,82.37,45.87
Agrifood,Mallard_sim,69.67,92.55,48.62,83.51,62.50
Agrifood,mint,87.21,95.23,66.66,93.00,68.63
Agrifood,Obesobeso_sim,89.07,98.92,48.12,94.51,87.63
Agrifood,Owl_sim,65.00,97.65,51.04,89.99,73.69
Agrifood,paddy,94.08,74.23,86.77,71.61,50.12
Agrifood,Parrot_real,42.03,78.48,34.06,58.97,37.13
Agrifood,Parrot_sim,67.95,95.19,55.65,86.34,68.81
Agrifood,peach,93.42,99.62,88.21,99.05,95.66
Agrifood,Pheonix_sim,26.68,97.29,40.65,86.21,73.67
Agrifood,Pig_real,95.80,95.47,47.90,92.46,76.96
Agrifood,Pig_sim,59.89,99.40,40.54,95.52,85.43
Agrifood,pipe_fryum,99.66,99.24,94.00,98.67,94.14
Agrifood,pistachios,74.93,81.13,69.00,73.24,36.10
Agrifood,potato,72.10,99.24,72.37,98.96,95.65
Agrifood,Puppy_real,93.33,98.06,55.83,83.15,53.11
Agrifood,Puppy_sim,63.92,96.79,39.49,88.85,69.85
Agrifood,Raspberry,96.94,98.98,95.79,98.55,92.91
Agrifood,rice,71.93,91.27,72.54,89.40,57.82
Agrifood,Sabertooth_sim,61.19,98.47,60.31,89.12,69.18
Agrifood,Scorpion_real,56.52,72.94,31.88,49.59,11.03
Agrifood,Scorpion_sim,72.88,97.49,64.04,91.86,79.22
Agrifood,Sheep_sim,72.20,98.63,43.21,94.16,87.40
Agrifood,Shredded_Corn_Fine,93.57,95.97,92.05,84.07,64.26
